language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_1,title_and_first_sentence_each_paragraph,0.7116279069767443,0.7913793103448276,0.6464788732394366,0.7876092834983991,0.1511627906976744
en,fold_2,title_and_first_sentence_each_paragraph,0.6687948922585796,0.7089678510998308,0.6329305135951662,0.7668116771209087,0.0935672514619883
en,fold_3,title_and_first_sentence_each_paragraph,0.6677419354838708,0.7064846416382252,0.6330275229357798,0.767088474111568,0.09941520467836257
fr,fold_1,title_and_first_sentence_each_paragraph,0.5079365079365079,0.6114649681528662,0.4343891402714932,0.6770101169078151,0.07142857142857142
fr,fold_2,title_and_first_sentence_each_paragraph,0.5761772853185595,0.6842105263157895,0.49760765550239233,0.7176754230819354,0.1
fr,fold_3,title_and_first_sentence_each_paragraph,0.5426356589147286,0.5645161290322581,0.5223880597014925,0.7101221509100148,0.09859154929577464
ge,fold_1,title_and_first_sentence_each_paragraph,0.5642201834862386,0.6577540106951871,0.4939759036144578,0.6915286797101752,0.06779661016949153
ge,fold_2,title_and_first_sentence_each_paragraph,0.5842696629213483,0.6735751295336787,0.5158730158730159,0.70305845915602,0.03389830508474576
ge,fold_3,title_and_first_sentence_each_paragraph,0.5983935742971888,0.6478260869565218,0.5559701492537313,0.703536545215101,0.05172413793103448
it,fold_1,title_and_first_sentence_each_paragraph,0.5510204081632654,0.6428571428571429,0.48214285714285715,0.68970156555773,0.06930693069306931
it,fold_2,title_and_first_sentence_each_paragraph,0.4963503649635037,0.576271186440678,0.4358974358974359,0.656913561698718,0.039603960396039604
it,fold_3,title_and_first_sentence_each_paragraph,0.514705882352941,0.5737704918032787,0.4666666666666667,0.6707731793391082,0.06930693069306931
po,fold_1,title_and_first_sentence_each_paragraph,0.5951940850277264,0.6625514403292181,0.540268456375839,0.703140764135632,0.03076923076923077
po,fold_2,title_and_first_sentence_each_paragraph,0.5946843853820598,0.6392857142857142,0.5559006211180124,0.6920659568175096,0.03076923076923077
po,fold_3,title_and_first_sentence_each_paragraph,0.6334991708126037,0.7346153846153847,0.5568513119533528,0.7160386758681774,0.03125
ru,fold_1,title_and_first_sentence_each_paragraph,0.4705882352941177,0.6521739130434783,0.36809815950920244,0.661795950408287,0.2222222222222222
ru,fold_2,title_and_first_sentence_each_paragraph,0.48398576512455516,0.5714285714285714,0.41975308641975306,0.6751353987957076,0.09375
ru,fold_3,title_and_first_sentence_each_paragraph,0.4883720930232558,0.5526315789473685,0.4375,0.6848404255319148,0.078125
